ex_dividend_date,amount,currency,record_date,payment_date,declaration_date
2025-09-29,0.0575,CAD,2025-09-30,2025-10-15,2025-09-15
2025-08-29,0.0575,CAD,2025-08-31,2025-09-15,2025-08-15
2025-07-31,0.0575,CAD,2025-07-31,2025-08-15,2025-07-15
2025-06-30,0.0575,CAD,2025-06-30,2025-07-15,2025-06-13
2025-05-30,0.0575,CAD,2025-05-30,2025-06-16,2025-05-19
2025-04-30,0.0575,CAD,2025-04-30,2025-05-15,2025-04-20
2025-03-31,0.0575,CAD,2025-03-31,2025-04-15,2025-03-18
2025-03-31,0.0575,CAD,2025-03-31,2025-04-15,2025-03-27
2023-11-29,0.0,CAD,2023-11-30,2023-12-15,2023-11-13
2023-10-30,0.02475,CAD,2023-10-31,2023-11-15,2023-10-16
2023-09-28,0.02475,CAD,2023-09-29,2023-10-16,2023-09-15
2023-08-30,0.02475,CAD,2023-08-31,2023-09-15,2023-08-15
2023-07-28,0.02475,CAD,2023-07-31,2023-08-15,2023-07-17
2023-06-29,0.02475,CAD,2023-06-30,2023-07-17,2023-06-15
2023-05-30,0.02475,CAD,2023-05-31,2023-06-15,2023-05-15
2023-04-27,0.02475,CAD,2023-04-28,2023-05-15,2023-04-17
2023-03-30,0.02475,CAD,2023-03-31,2023-04-17,2023-03-14
2023-02-27,0.0495,CAD,2023-02-28,2023-03-15,2023-02-15
2023-01-30,0.0495,CAD,2023-01-31,2023-02-15,2023-01-16
2022-12-29,0.0495,CAD,2022-12-30,2023-01-16,2022-12-15
2022-11-29,0.0495,CAD,2022-11-30,2022-12-15,2022-11-15
2022-10-28,0.0495,CAD,2022-10-31,2022-11-15,2022-10-17
2022-09-28,0.0495,CAD,2022-09-30,2022-10-17,2022-09-15
2022-08-30,0.0495,CAD,2022-08-31,2022-09-15,2022-08-15
2022-07-28,0.0495,CAD,2022-07-29,2022-08-15,2022-07-15
2022-06-29,0.0495,CAD,2022-06-30,2022-07-15,2022-06-15
2022-05-30,0.0495,CAD,2022-05-31,2022-06-15,2022-05-16
2022-04-28,0.0495,CAD,2022-04-29,2022-05-16,2022-04-19
2022-03-30,0.0495,CAD,2022-03-31,2022-04-19,2022-03-15
2022-02-25,0.0495,CAD,2022-02-28,2022-03-15,2022-02-15
2022-01-28,0.0495,CAD,2022-01-31,2022-02-15,2022-01-17
