ex_dividend_date,amount,currency,record_date,payment_date,declaration_date
2025-09-29,0.12917,CAD,2025-09-30,2025-10-15,2025-09-15
2025-08-29,0.12916,CAD,2025-08-29,2025-09-15,2025-08-15
2025-07-31,0.12917,CAD,2025-07-31,2025-08-15,2025-07-15
2025-06-30,0.12917,CAD,2025-06-30,2025-07-15,2025-06-16
2025-05-30,0.12916,CAD,2025-05-30,2025-06-16,2025-05-15
2025-04-30,0.12917,CAD,2025-04-30,2025-05-15,2025-04-15
2025-03-31,0.12917,CAD,2025-03-31,2025-04-15,2025-03-17
2025-02-28,0.1292,CAD,2025-02-28,2025-03-17,2025-02-13
2025-01-31,0.125,CAD,2025-01-31,2025-02-18,2025-01-15
2024-12-31,0.125,CAD,2024-12-31,2025-01-15,2024-12-16
2024-12-23,1.49,CAD,2024-12-23,2024-12-31,2024-12-16
2024-11-29,0.125,CAD,2024-11-29,2024-12-16,2024-11-15
2024-10-31,0.125,CAD,2024-10-31,2024-11-15,2024-10-16
2024-09-27,0.125,CAD,2024-09-30,2024-10-15,2024-09-16
2024-08-30,0.125,CAD,2024-08-30,2024-09-16,2024-08-15
2024-07-31,0.12084,CAD,2024-07-31,2024-08-15,2024-07-15
2024-06-28,0.12083,CAD,2024-06-28,2024-07-15,2024-06-18
2024-05-31,0.12083,CAD,2024-05-31,2024-06-17,2024-05-15
2024-04-29,0.12084,CAD,2024-04-30,2024-05-15,2024-04-15
2024-03-27,0.12083,CAD,2024-03-28,2024-04-15,2024-03-15
2024-02-28,0.12083,CAD,2024-02-29,2024-03-15,2024-02-16
2024-01-30,0.12084,CAD,2024-01-31,2024-02-15,2024-01-16
2023-12-28,0.12083,CAD,2023-12-29,2024-01-15,2023-12-18
2023-11-29,0.12083,CAD,2023-11-30,2023-12-15,2023-11-16
2023-10-30,0.12084,CAD,2023-10-31,2023-11-15,2023-10-16
2023-09-28,0.12083,CAD,2023-09-29,2023-10-16,2023-09-15
2023-08-30,0.12083,CAD,2023-08-31,2023-09-15,2023-08-15
2023-07-28,0.12084,CAD,2023-07-31,2023-08-15,2023-07-17
2023-06-29,0.12083,CAD,2023-06-30,2023-07-17,2023-06-15
2023-05-30,0.12083,CAD,2023-05-31,2023-06-15,2023-05-15
2023-04-27,0.12084,CAD,2023-04-28,2023-05-15,2023-04-17
2023-03-30,0.12083,CAD,2023-03-31,2023-04-17,2023-03-15
2023-02-27,0.12083,CAD,2023-02-28,2023-03-15,2023-02-15
2023-01-30,0.12084,CAD,2023-01-31,2023-02-15,2023-01-16
2022-12-29,0.12083,CAD,2022-12-30,2023-01-16,2022-12-15
2022-11-29,0.12083,CAD,2022-11-30,2022-12-15,2022-11-16
2022-10-28,0.12084,CAD,2022-10-31,2022-11-15,2022-10-18
2022-09-28,0.12083,CAD,2022-09-30,2022-10-17,2022-09-16
2022-08-30,0.12083,CAD,2022-08-31,2022-09-15,2022-08-15
2022-07-28,0.12084,CAD,2022-07-29,2022-08-15,2022-07-15
2022-06-29,0.12083,CAD,2022-06-30,2022-07-15,2022-06-15
2022-05-30,0.12083,CAD,2022-05-31,2022-06-15,2022-05-20
2022-04-28,0.12084,CAD,2022-04-29,2022-05-16,2022-04-19
2022-03-30,0.12083,CAD,2022-03-31,2022-04-18,2022-03-16
2022-02-25,0.12083,CAD,2022-02-28,2022-03-15,2022-02-16
2022-01-28,0.12084,CAD,2022-01-31,2022-02-15,2022-01-18
2021-12-30,0.12083,CAD,2021-12-31,2022-01-17,2021-12-15
2021-11-29,0.12083,CAD,2021-11-30,2021-12-15,2021-11-16
2021-10-28,0.12084,CAD,2021-10-29,2021-11-15,2021-10-15
2021-09-28,0.12083,CAD,2021-09-30,2021-10-15,2021-09-16
2021-08-30,0.12083,CAD,2021-08-31,2021-09-15,2021-08-16
